id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
325,Pepper Black Oleoresin 1016,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1016,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1016, food grade industrial ingredient."
326,Pepper Black Oleoresin 1017,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1017,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1017, food grade industrial ingredient."
327,Pepper Black Oleoresin 1018,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1018,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1018, food grade industrial ingredient."
328,Pepper Black Oleoresin 1019,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1019,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1019, food grade industrial ingredient."
329,Pepper Black Oleoresin 1020,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1020,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1020, food grade industrial ingredient."
330,Pepper Black Oleoresin 1021,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1021,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1021, food grade industrial ingredient."
331,Pepper Black Oleoresin 1022,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1022,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1022, food grade industrial ingredient."
332,Pepper Black Oleoresin 1023,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1023,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1023, food grade industrial ingredient."
333,Pepper Black Oleoresin 1024,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1024,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1024, food grade industrial ingredient."
334,Pepper Black Oleoresin 1025,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1025,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1025, food grade industrial ingredient."
335,Pepper Black Oleoresin 1026,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1026,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1026, food grade industrial ingredient."
